,original,random,pos
3379,replacement,pet,n
3380,portray,tip,v
3381,hunt,trim,v
3382,distinguish,chicken-fight,v
3383,melt,cover,v
3384,consensus,sputter,n
3385,kiss,Pleiospilos,n
3386,french,cystitis,n
3387,hardware,shamefulness,n
3388,rail,achondrite,n
3389,cold,pillow,n
3390,mate,snowfield,n
3391,dry,counterweight,v
3392,korean,genetic,a
3393,cabin,Rhaeto-Romance,n
3394,dining,multiple,n
3395,liberal,lecturer,n
3396,snake,nutshell,n
3397,tobacco,conjuring,n
3398,orientation,kimberlite,n
3399,trigger,marshal,v
3400,wherever,inequitably,r
3401,seize,blackmail,v
3402,abuse,snatch,v
3403,mess,dally,v
3404,punish,film,v
3405,sexy,sure-handed,a
3406,depict,vivisect,v
3407,input,Waterbury,n
3408,seemingly,painfully,r
3409,widespread,caprine,a
3410,competitor,catch,n
3411,flip,abstract,v
3412,freshman,polydactyly,n
3413,donation,precedence,n
3414,administrative,synthetic,a
3415,donor,remand,n
3416,gradually,minimally,r
3417,overlook,trigger,v
3418,toilet,disinfectant,n
3419,pleased,isometric,a
3420,resemble,blossom,v
3421,ideology,shamanism,n
3422,glory,Machaeranthera,n
3423,maximum,preliterate,a
3424,organ,wirework,n
3425,skip,jackrabbit,v
3426,starting,oil,n
3427,brush,feed,v
3428,brick,clearing,n
3429,gut,silvervine,n
3430,reservation,Chardonnay,n
3431,rebel,round,n
3432,disappointed,two-hundredth,a
3433,oak,language,n
3434,valid,autoecious,a
3435,instructor,intemperance,n
3436,rescue,upload,v
3437,racism,disregard,n
3438,pension,Cambodia,n
3439,diabetes,limit,n
3440,overall,aside,r
3441,cluster,aa,n
3442,eager,cumbersome,a
3443,marijuana,kindliness,n
3444,combat,trident,n
3445,praise,tear,v
3446,costume,archespore,n
3447,frequent,geopolitical,a
3448,inspiration,shorebird,n
3449,orange,pharmacogenetics,n
3450,concrete,desperate,a
3451,cooking,Armenian,n
3452,conspiracy,Lin,n
3453,trait,niche,n
3454,van,pimozide,n
3455,institutional,intrinsic,a
3456,garlic,coral,n
3457,drinking,background,n
3458,crystal,lipreading,n
3459,stretch,Benghazi,n
3460,pro,Indonesia,n
3461,associate,enormity,n
3462,helicopter,Euarctos,n
3463,counsel,Beveridge,n
3464,equation,Gabor,n
3465,roman,bolometric,a
3466,sophisticated,surmounted,a
3467,timing,exhaustion,n
3468,pope,Kathmandu,n
3469,opera,vestment,n
3470,ethical,dynamic,a
3471,mount,hardening,n
3472,indication,discard,n
3473,motive,hereditament,n
3474,porch,confusion,n
3475,reinforce,crib,v
3476,gaze,Tucker,n
3477,lap,lurch,n
3478,written,sprigged,a
3479,reverse,weather,v
3480,starter,countertop,n
3481,injure,soft-soap,v
3482,chronic,light-blue,a
3483,continued,miasmic,a
3484,exclusive,feudatory,a
3485,colonel,domicile,n
3486,copy,involve,v
3487,beef,propellant,n
3488,abroad,high-mindedly,r
3489,thanksgiving,hairspring,n
3490,intensity,backfire,n
3491,desire,overprice,v
3492,cave,Mitchell,n
3493,basement,tremolo,n
3494,associated,theatrical,a
3495,unlike,dissilient,a
3496,fascinating,lithophytic,a
3497,interact,banish,v
3498,illustration,heartbreaker,n
3499,daily,underfoot,r
3500,essence,reentry,n
3501,container,autograph,n
3502,driving,ordered,a
3503,stuff,blame,v
3504,dynamic,valedictory,a
3505,gym,Labiatae,n
3506,bat,vibraphone,n
3507,plead,birdie,v
3508,promotion,pillion,n
3509,uncertainty,pickle,n
3510,ownership,Malevich,n
3511,officially,unmistakably,r
3512,tag,criticality,n
3513,documentary,mangle,n
3514,stem,ratatouille,n
3515,flood,filename,n
3516,guilt,Mycoplasmataceae,n
3517,inside,merganser,n
3518,alarm,pad,n
3519,turkey,transvestism,n
3520,conduct,passage,n
3521,diagnose,nourish,v
3522,precious,rousing,a
3523,swallow,sheet,v
3524,initiate,reissue,v
3525,fitness,politeness,n
3526,restrict,discover,v
3527,gulf,Charles,n
3528,advocate,lignify,v
3529,mommy,rib,n
3530,unexpected,posed,a
3531,shrug,glue,v
3532,agricultural,aeriform,a
3533,sacrifice,gaudy,n
3534,spectrum,Epipactis,n
3535,dragon,courtship,n
3536,bacteria,tapestry,n
3537,shore,hovel,n
3538,pastor,Espoo,n
3539,cliff,fire-eater,n
3540,ship,situate,v
3541,adequate,regional,a
3542,rape,insufflate,v
3543,addition,Maharashtra,n
3544,tackle,plasticize,v
3545,occupation,inferiority,n
3546,compose,encode,v
3547,slice,Entomophthora,n
3548,brave,censored,a
3549,military,proxy,n
3550,stimulus,washwoman,n
3551,patent,playbill,n
3552,powder,ethology,n
3553,harsh,unsupported,a
3554,chaos,neophobia,n
3555,kit,godchild,n
3556,piano,repudiation,n
3557,surprisingly,fitfully,r
3558,lend,foot,v
3559,correctly,excusably,r
3560,project,splash,v
3561,govern,fan,v
3562,modest,unfree,a
3563,shared,technical,a
3564,psychologist,prisoner,n
3565,servant,craps,n
3566,overwhelming,chiromantic,a
3567,elevator,ghillie,n
3568,hispanic,nonsensitive,a
3569,divine,dirty,a
3570,transmission,amelia,n
3571,butt,disqualification,n
3572,commonly,disturbingly,r
3573,cowboy,bastardization,n
3574,ease,dismiss,v
3575,intent,Taoism,n
3576,counseling,jacklight,n
3577,gentle,botryoid,a
3578,rhythm,immunodeficiency,n
3579,short,half-heartedly,r
3580,complexity,hook,n
3581,nonetheless,perversely,r
3582,effectiveness,poplin,n
3583,lonely,troublous,a
3584,statistical,abulic,a
3585,longtime,unconfined,a
3586,strain,blepharospasm,n
3587,firm,disgusted,a
3588,garbage,sharpie,n
3589,devote,nod,v
3590,speed,declare,v
3591,venture,unruliness,n
3592,lock,hamadryad,n
3593,aide,Pagellus,n
3594,subtle,busy,a
3595,rod,Kaluga,n
3596,top,harangue,v
3597,civilian,monochromatic,a
3598,t-shirt,camper,n
3599,endure,marginalize,v
3600,civilian,Conocarpus,n
3601,basket,banishment,n
3602,strict,unmerited,a
3603,loser,by-product,n
3604,franchise,kamikaze,n
3605,saint,fuselage,n
3606,aim,cosmos,n
3607,prosecution,craniometer,n
3608,bite,affinity,n
3609,lyrics,brief,n
3610,compound,choir,n
3611,architecture,ichthyosaurus,n
3612,reach,fullness,n
3613,destination,smile,n
3614,cope,grasp,v
3615,province,night-light,n
3616,sum,assimilation,n
3617,lecture,statuary,n
3618,spill,sublime,v
3619,genuine,Sumatran,a
3620,upstairs,trimly,r
3621,protest,horse,v
3622,trading,valerian,n
3623,please,gee,v
3624,acceptance,Bernini,n
3625,revelation,pantyhose,n
3626,march,disenchant,v
3627,indicator,Oklahoma,n
3628,collaboration,bulb,n
3629,rhetoric,hex,n
3630,tune,loop,v
3631,slam,harlequin,v
3632,inevitable,alarmed,a
3633,monkey,haulm,n
3634,protocol,enemy,n
3635,productive,inefficient,a
3636,principal,shriveled,a
3637,finish,relativism,n
3638,jeans,Alleghenies,n
3639,companion,urbanization,n
3640,convict,deck,v
3641,boost,shave,v
3642,recipient,bolt-hole,n
3643,practically,unacceptably,r
3644,array,Mansart,n
3645,persuade,eject,v
3646,undermine,kick,v
3647,ranch,rioting,n
3648,scout,etodolac,n
3649,medal,mailbox,n
3650,endless,neighborly,a
3651,translation,pulse,n
3652,ski,decay,n
3653,conservation,cup,n
3654,habitat,band,n
3655,contractor,Scopolia,n
3656,trailer,sauerkraut,n
3657,pitcher,patchwork,n
3658,towel,depersonalization,n
3659,harm,reproduce,v
3660,bonus,Stereospondyli,n
3661,dramatically,illegitimately,r
3662,genre,Phoenix,n
3663,caller,reseau,n
3664,exit,manumission,n
3665,hook,bap,n
3666,behavioral,veiled,a
3667,omit,oscillate,v
3668,pit,finback,n
3669,volunteer,misplay,v
3670,boring,antiviral,a
3671,hook,sling,v
3672,suspend,aggregate,v
3673,cholesterol,varietal,n
3674,closed,funicular,a
3675,advertisement,pocketbook,n
3676,bombing,bain-marie,n
3677,consult,unseat,v
3678,encounter,ransom,n
3679,expertise,Memphis,n
3680,creator,acolyte,n
3681,peaceful,proportionate,a
3682,upset,quadruple,a
3683,tablet,matsyendra,n
3684,blow,griffon,n
3685,ruling,scrap,n
3686,launch,butch,n
3687,warming,chloroprene,n
3688,equity,honesty,n
3689,rational,bowl-shaped,a
3690,classic,nonconformity,n
3691,utilize,disturb,v
3692,pine,instrumentation,n
3693,past,instinctively,r
3694,bitter,mated,a
3695,guard,smelt,v
3696,surgeon,violator,n
3697,affordable,dead,a
3698,tennis,Gadaba,n
3699,artistic,bright,a
3700,download,shamanize,v
3701,suffering,ratability,n
3702,accuracy,adsorbent,n
3703,literacy,Magadhan,n
3704,treasury,Megapodius,n
3705,talented,recognizable,a
3706,crown,kylix,n
3707,importantly,insignificantly,r
3708,bare,nonexplosive,a
3709,invisible,shamefaced,a
3710,sergeant,trampoline,n
3711,regulatory,blighted,a
3712,thumb,snivel,n
3713,colony,rent,n
3714,walking,upcast,n
3715,accessible,terminal,a
3716,damn,summerize,v
3717,integration,Rhine,n
3718,spouse,openwork,n
3719,award,flambe,v
3720,excitement,Garrison,n
3721,residence,Ringling,n
3722,bold,beautiful,a
3723,adolescent,attrition,n
3724,greek,better,a
3725,doll,lobule,n
3726,oxygen,chowchow,n
3727,finance,dismiss,v
3728,gravity,admonisher,n
3729,functional,clear-eyed,a
3730,palace,stencil,n
3731,echo,integrate,v
3732,cotton,quitclaim,n
3733,rescue,Vespucci,n
3734,estimated,white,a
3735,program,refocus,v
3736,endorse,swoop,v
3737,lawmaker,agraphia,n
3738,determination,Tetrapturus,n
3739,flash,give,v
3740,simultaneously,chastely,r
3741,dynamics,craftsman,n
3742,shell,exposure,n
3743,hint,eatage,n
3744,frame,specify,v
3745,administer,sail,v
3746,rush,sorb,n
3747,christianity,supermom,n
3748,distract,immerse,v
3749,ban,leukoencephalitis,n
3750,alleged,uninvolved,a
3751,statute,lottery,n
3752,value,rehearse,v
3753,biology,bushing,n
3754,republican,glass-like,a
3755,follower,oracle,n
3756,nasty,uncheckable,a
3757,evident,doomed,a
3758,prior,denatured,a
3759,confess,extrude,v
3760,eligible,anaglyphic,a
3761,picture,exsert,v
3762,rock,frogmarch,v
3763,trap,catch,n
3764,consent,son-in-law,n
3765,pump,overnighter,n
3766,bloody,inartistic,a
3767,hate,Campbell,n
3768,occasional,decadent,a
3769,trunk,cruelty,n
3770,prohibit,dig,v
3771,sustainable,literal,a
3772,belly,Fahd,n
3773,banking,receiver,n
3774,asshole,flat,n
3775,journalism,pledgee,n
3776,flash,drain,n
3777,average,downsize,v
3778,obstacle,Eddington,n
3779,ridge,music,n
3780,heal,press,v
3781,bastard,Greenville,n
3782,cheer,square,v
3783,apology,axolotl,n
3784,tumor,reelection,n
3785,architect,dissection,n
3786,wrist,yoke,n
3787,harbor,Lygaeidae,n
3788,handsome,breast-fed,a
3789,bullshit,settlement,n
3790,realm,freeze,n
3791,bet,yakuza,n
3792,twist,reform,v
3793,inspector,distaff,n
3794,surveillance,propjet,n
3795,trauma,Hungarian,n
3796,rebuild,break,v
3797,romance,gallon,n
3798,gross,congruent,a
3799,deadline,switch,n
3800,age,cocainize,v
3801,classical,avid,a
3802,convey,index,v
3803,compensation,amiodarone,n
3804,insect,Peripatopsis,n
3805,debate,piece,v
3806,output,syrinx,n
3807,parliament,icosahedron,n
3808,suite,freestyle,n
3809,fold,deviate,v
3810,separation,cusp,n
3811,demon,pantheism,n
3812,eating,multiversity,n
3813,structural,cheapjack,a
3814,equality,developer,n
3815,logical,unparliamentary,a
3816,probability,cancellation,n
3817,await,polarize,v
3818,generous,resuscitated,a
3819,acquisition,tebibit,n
3820,custody,colonoscopy,n
3821,compromise,cadaverine,n
3822,greet,flatten,v
3823,trash,Viyella,n
3824,judicial,psycholinguistic,a
3825,earthquake,plainclothesman,n
3826,insane,parenteral,a
3827,realistic,marital,a
3828,wake,eight,n
3829,assemble,waste,v
3830,necessity,Marsileaceae,n
3831,horn,tamarau,n
3832,parameter,star,n
3833,grip,headache,n
3834,modify,reorder,v
3835,signal,ejaculate,v
3836,sponsor,wipe,v
3837,mathematics,Endomycetales,n
3838,hallway,elixir,n
3839,african-american,weak-kneed,a
3840,liability,Deimos,n
3841,crawl,prejudice,v
3842,theoretical,branchless,a
3843,condemn,kite,v
3844,fluid,remover,n
3845,homeland,neurologist,n
3846,technological,German-speaking,a
3847,exam,iodotyrosine,n
3848,anchor,playback,n
3849,spell,incline,v
3850,conscious,unfattened,a
3851,vitamin,Myrciaria,n
3852,known,defeated,a
3853,hostage,Connecticuter,n
3854,reserve,name,v
3855,actively,bestially,r
3856,mill,jackfruit,n
3857,teenage,asynchronous,a
3858,retrieve,test,v
3859,processing,square,n
3860,sentiment,ninepins,n
3861,offering,Minos,n
3862,oral,alienated,a
3863,convinced,insuperable,a
3864,photography,pulp,n
3865,coin,jujube,n
3866,laptop,Natantia,n
3867,bounce,wrap,v
3868,goodness,earliness,n
3869,affiliation,Islamophobia,n
3870,punch,remit,v
3871,burst,persist,v
3872,bee,loginess,n
3873,blessing,pronation,n
3874,command,cruise,v
3875,continuous,rare,a
3876,landing,banking,n
3877,repair,benefit,n
3878,worry,antiprotozoal,n
3879,ritual,Choctaw,n
3880,bath,hand,n
3881,sneak,begin,v
3882,historically,haltingly,r
3883,mud,loss,n
3884,scan,scale,v
3885,reminder,father-figure,n
3886,slavery,blowtube,n
3887,supervisor,Tiliaceae,n
3888,quantity,peridot,n
3889,olympics,mackinaw,n
3890,pleasant,unconstitutional,a
3891,slope,benefactress,n
3892,skirt,hemoprotein,n
3893,outlet,four-poster,n
3894,curtain,filling,n
3895,declaration,vacuousness,n
3896,seal,catch,v
3897,immune,abrupt,a
3898,switch,Gymnogyps,n
3899,calendar,Pholiota,n
3900,paragraph,Acipenser,n
3901,identical,algolagnic,a
3902,credit,know,v
3903,regret,hail,v
3904,quest,bismuth,n
3905,flat,shoehorn,n
3906,entrepreneur,choanocyte,n
3907,specify,lapidify,v
3908,stumble,unhorse,v
3909,clay,nonpareil,n
3910,noon,body,n
3911,last,analogously,r
3912,strip,double-space,v
3913,elbow,sophistication,n
3914,outstanding,illusive,a
3915,unity,Patwin,n
3916,rent,homeboy,n
3917,manipulate,practice,v
3918,airplane,bust,n
3919,portfolio,guard,n
3920,mysterious,Libyan,a
3921,delicious,metalloid,a
3922,northwest,condensation,n
3923,sweat,importer,n
3924,profound,synonymous,a
3925,sacrifice,owe,v
3926,treasure,fantast,n
3927,flour,al-Fatah,n
3928,lightly,worthily,r
3929,rally,malignancy,n
3930,default,positivity,n
3931,plain,andryala,n
3932,hug,begin,v
3933,isolate,emasculate,v
3934,exploration,Macrothelypteris,n
3935,secure,approachable,a
3936,limb,stream,n
3937,enroll,dump,v
3938,outer,tethered,a
3939,charter,neuroanatomy,n
3940,southwest,sabin,n
3941,escape,herpes,n
3942,arena,Ahuehuete,n
3943,witch,mycomycin,n
3944,upcoming,administrative,a
3945,someday,later,r
3946,unite,hit,v
3947,courtesy,density,n
3948,statue,Telescopium,n
3949,fist,tetryl,n
3950,castle,exhibition,n
3951,precise,tessellated,a
3952,squad,home-farm,n
3953,cruise,etching,n
3954,joke,palpitate,v
3955,legally,amok,r
3956,embassy,pollard,n
3957,patience,lacrimation,n
3958,medium,social,a
3959,thereby,affirmatively,r
3960,bush,hawk,n
3961,purple,prerecorded,a
3962,peer,darken,v
3963,electrical,lasting,a
3964,outfit,cheek,n
3965,cage,handful,n
3966,retired,avocational,a
3967,shark,polder,n
3968,lobby,socle,n
3969,sidewalk,meditation,n
3970,near,far,r
3971,runner,malmsey,n
3972,ankle,kick,n
3973,attraction,Kinshasa,n
3974,fool,deviate,v
3975,artificial,colonic,a
3976,mercy,crimp,n
3977,indigenous,modest,a
3978,slap,bull,v
3979,tune,hendiadys,n
3980,dancer,foundation,n
3981,candle,Helenium,n
3982,sexually,north,r
3983,needle,stunt,n
3984,hidden,activated,a
3985,chronicle,Nyamwezi,n
3986,suburb,colony,n
3987,toxic,abnormal,a
3988,underlying,tasty,a
3989,sensor,Procavia,n
3990,deploy,sibilate,v
3991,debut,lemonwood,n
3992,star,close,v
3993,magnitude,accreditation,n
3994,suspicion,tabulation,n
3995,pro,judgmental,a
3996,colonial,dry,a
3997,icon,ghost,n
3998,grandma,ell,n
3999,info,lithography,n
4000,jurisdiction,spasticity,n
4001,iranian,syllabic,a
4002,senior,wordnet,n
4003,parade,skim,n
4004,seal,note,n
4005,archive,ligature,n
4006,gifted,disintegrative,a
4007,rage,discard,n
4008,outdoor,adroit,a
4009,ending,kapuka,n
4010,loop,cat's-ear,n
4011,altogether,idiotically,r
4012,chase,steamer,n
4013,burning,unpretentious,a
4014,reception,Scardinius,n
4015,local,show,n
4016,crush,roll,v
4017,premise,Xinjiang,n
4018,deem,undercut,v
4019,automatic,traumatic,a
4020,whale,Schizosaccharomycetaceae,n
4021,mechanical,methodical,a
4022,credibility,pardoner,n
4023,drain,instrument,v
4024,drift,applaud,v
4025,loyalty,heaves,n
4026,promising,sweetheart,a
4027,tide,chilblain,n
4028,traveler,alienor,n
4029,grief,Celastrus,n
4030,metaphor,Thessalian,n
4031,skull,topography,n
4032,pursuit,airship,n
4033,therapist,chantry,n
4034,backup,Bayard,n
4035,workplace,complaint,n
4036,instinct,Smyrnium,n
4037,export,scourge,n
4038,bleed,scuff,v
4039,shock,belay,v
4040,fixed,tetanic,a
4041,broadcast,Salerno,n
4042,disclose,humify,v
4043,execution,jug,n
4044,pal,Wood,n
4045,chuckle,politicize,v
4046,pump,grass,v
4047,density,opacification,n
4048,correction,Piciformes,n
4049,representative,turbaned,a
4050,jump,Wright,n
4051,repair,Europeanize,v
4052,kinda,insuperably,r
4053,relieve,tool,v
4054,teammate,Barbados,n
4055,brush,housemaster,n
4056,corridor,Schadenfreude,n
4057,russian,lapin,n
4058,enthusiasm,remise,n
4059,extended,general,a
4060,root,fill,v
4061,alright,agonizingly,r
4062,panic,Ortega,n
4063,pad,capillary,n
4064,bid,facial,n
4065,mild,helpful,a
4066,productivity,fling,n
4067,guess,Anthus,n
4068,tuck,charge,v
4069,defeat,ceiling,n
4070,railroad,pass,n
4071,frozen,nebulous,a
4072,minimize,block,v
4073,inspection,perspicuity,n
4074,cab,Erethizon,n
4075,expected,entangled,a
4076,nonsense,Cyatheaceae,n
4077,leap,lapse,v
4078,draft,port,v
4079,rider,hymeneal,n
4080,theology,dibble,n
4081,terrific,occasional,a
4082,accent,position,n
4083,invitation,filament,n
4084,reply,pay-phone,n
4085,israeli,hawser,n
4086,liar,nephrocalcinosis,n
4087,oversee,field,v
4088,awkward,imbricate,a
4089,registration,permutation,n
4090,suburban,nephritic,a
4091,handle,pounce,n
4092,momentum,Russia,n
4093,instantly,here,r
4094,clerk,deterioration,n
4095,chin,palatopharyngoplasty,n
4096,hockey,by-catch,n
4097,laser,Lorenz,n
4098,proposition,ammoniuria,n
4099,rob,reject,v
4100,beam,factorial,n
4101,ancestor,chemise,n
4102,creativity,Oxylebius,n
4103,verse,raphe,n
4104,casual,quiet,a
4105,objection,Kichai,n
4106,clever,deserving,a
4107,shove,thunder,v
4108,revolutionary,informative,a
4109,carbohydrate,deductible,n
4110,steam,provision,n
4111,reportedly,expectantly,r
4112,glance,flush,n
4113,forehead,exteroceptor,n
4114,resume,gang-rape,v
4115,slide,gong,n
4116,sheep,echovirus,n
4117,good,manfully,r
4118,carpet,colony,n
4119,cloth,Galium,n
4120,interior,sternness,n
4121,full-time,unbrushed,a
4122,running,epilation,n
4123,questionnaire,millimeter,n
4124,compromise,convert,v
4125,departure,intumescence,n
4126,graph,willingness,n
4127,diplomatic,mutant,a
4128,thief,loosening,n
4129,herb,crawl,n
4130,subsidy,nortriptyline,n
4131,cast,birr,n
4132,fossil,selection,n
4133,patrol,neurotransmitter,n
4134,pulse,kid,n
4135,mechanic,bluefin,n
4136,cattle,Morgantown,n
4137,screening,starches,n
4138,continuing,semiskilled,a
4139,electoral,uncontaminated,a
4140,supposedly,first,r
4141,dignity,radiocarbon,n
4142,prophet,Portunidae,n
4143,commentary,wheeler,n
4144,sort,photosensitize,v
4145,spread,outfitting,n
4146,serving,invocation,n
4147,safely,friskily,r
4148,homework,chasm,n
4149,allegedly,pathetically,r
4150,android,rack,n
4151,alpha,corollary,n
4152,insert,mandate,v
4153,mortality,capital,n
4154,contend,ridicule,v
4155,elephant,kernel,n
4156,solely,dolefully,r
4157,hurt,reduced,a
4158,continent,poverty,n
4159,attribute,trachea,n
4160,ecosystem,dry,n
4161,leave,Hasid,n
4162,nearby,hazily,r
4163,olive,matutinal,a
4164,syndrome,earplug,n
4165,minimum,novel,n
4166,catch,forward,n
4167,abstract,obstreperous,a
4168,accusation,Schizachyrium,n
4169,coming,changeless,a
4170,sock,pass,n
4171,pickup,Maryland,n
4172,shuttle,ply,n
4173,improved,pendent,a
4174,calculation,perimeter,n
4175,innovative,caudate,a
4176,demographic,Andorran,a
4177,accommodate,sandblast,v
4178,jaw,bounty,n
4179,unfair,hands-off,a
4180,tragic,adaptational,a
4181,comprise,bridle,v
4182,faster,preclinical,a
4183,nutrition,Greek,n
4184,mentor,pavlova,n
4185,stance,phrase,n
4186,rabbit,analgesic,n
4187,pause,nitrobenzene,n
4188,dot,Recurvirostra,n
4189,contributor,derivative,n
4190,cooperate,bequeath,v
4191,disk,osteopetrosis,n
4192,hesitate,grant,v
4193,offend,crop,v
4194,exploit,brawl,v
4195,compel,botch,v
4196,likelihood,Walloons,n
4197,sibling,bellbird,n
4198,southeast,Wood,n
4199,gorgeous,autonomic,a
4200,undertake,shoot,v
4201,painter,blackfish,n
4202,residential,four-ply,a
4203,counterpart,zooid,n
4204,believer,paleogeology,n
4205,lamp,mane,n
4206,inmate,pennant,n
4207,thoroughly,deceptively,r
4208,trace,matrix,n
4209,freak,report,v
4210,filter,contribution,n
4211,pillow,Suillus,n
4212,orbit,celeriac,n
4213,purse,truth,n
4214,likewise,intelligently,r
4215,cease,relieve,v
4216,passing,assailable,a
4217,feed,ambusher,n
4218,vanish,loop,v
4219,instructional,two-needled,a
4220,clause,dent,n
4221,mentally,respectfully,r
4222,model,grab,v
4223,left,goldsmith,n
4224,pond,arsonist,n
4225,neutral,operative,a
4226,shield,swathe,n
4227,popularity,triple,n
4228,cartoon,modeling,n
4229,authorize,shrink,v
4230,combined,upscale,a
4231,exhibit,hailstorm,n
4232,sink,zodiac,n
4233,graphic,awayness,n
4234,darling,asterism,n
4235,traditionally,big,r
4236,vendor,Wilmington,n
4237,poorly,regally,r
4238,conceive,enslave,v
4239,opt,worship,v
4240,descend,hydrate,v
4241,firmly,discreetly,r
4242,beloved,penal,a
4243,openly,naturally,r
4244,gathering,conspecific,n
4245,alien,stingy,a
4246,stem,abuse,v
4247,fever,audiovisual,n
4248,preach,acidify,v
4249,interfere,accept,v
4250,arrow,rearrangement,n
4251,required,firm,a
4252,capitalism,Harris,n
4253,kick,modulus,n
4254,fork,foreigner,n
4255,survey,wean,v
4256,meantime,genius,n
4257,presumably,off,r
4258,position,clear,v
4259,racist,stuffed,a
4260,stay,promenade,n
4261,illusion,miler,n
4262,removal,abhorrer,n
4263,anxious,present,a
4264,arab,Actinidiaceae,n
4265,organism,footwear,n
4266,awake,snub,a
4267,sculpture,eriogonum,n
4268,spare,vein,v
4269,marine,mandrake,n
4270,harassment,failure,n
4271,drum,dogfight,n
4272,diminish,fingerprint,v
4273,helmet,expressway,n
4274,level,fervent,a
4275,certificate,exordium,n
4276,tribal,isolated,a
4277,bad,therefor,r
4278,sadly,through,r
4279,cart,regent,n
4280,spy,environmentalism,n
4281,sunlight,Saipan,n
4282,delete,desulfurize,v
4283,rookie,enlistment,n
4284,clarify,play,v
4285,hunger,anemometry,n
4286,practitioner,scale,n
4287,performer,unfitness,n
4288,protective,truthful,a
4289,jar,Clathraceae,n
4290,programming,phone-in,n
4291,dawn,Gregory,n
4292,salmon,lesbianism,n
4293,census,sixteen,n
4294,pick,fussiness,n
4295,accomplishment,Skinner,n
4296,conscience,nerve,n
4297,fortunately,efficaciously,r
4298,minimal,uncastrated,a
4299,molecule,Knossos,n
4300,supportive,albitic,a
4301,sole,jingling,a
4302,threshold,aggressor,n
4303,inventory,Sauropodomorpha,n
4304,comply,append,v
4305,monetary,waxen,a
4306,transport,conversion,n
4307,shy,expiatory,a
4308,drill,settle,v
4309,influential,brisant,a
4310,verbal,introuvable,a
4311,reward,dwell,v
4312,ranking,mesentery,n
4313,gram,love,n
4314,grasp,galvanize,v
4315,puzzle,Palmer,n
4316,envelope,anagoge,n
4317,heat,guard,v
4318,classify,sharpen,v
4319,enact,schedule,v
4320,unfortunate,prickly-leaved,a
4321,scatter,flee,v
4322,cure,Entoprocta,n
4323,time,pour,v
4324,slice,window-shop,v
4325,readily,bombastically,r
4326,discount,enumeration,n
4327,addiction,opinion,n
4328,emerging,verticillate,a
4329,worthy,apparent,a
4330,marker,tastefulness,n
4331,juror,Ochna,n
4332,mention,blackboard,n
4333,blend,activate,v
4334,businessman,fistula,n
4335,premium,charcoal,n
4336,retailer,ani,n
4337,liver,topside,n
4338,pirate,benefit,n
4339,protester,flageolet,n
4340,outlook,concurrence,n
4341,elder,contextualism,n
4342,gallon,thump,n
4343,additionally,chastely,r
4344,ignorance,version,n
4345,chemistry,joke,n
4346,sometime,ecclesiastically,r
4347,weed,birthwort,n
4348,babe,intactness,n
4349,fraction,spectacular,n
4350,cook,decoration,n
4351,conversion,dolomite,n
4352,object,prevail,v
4353,tolerate,refute,v
4354,trail,underspend,v
4355,drown,educe,v
4356,merit,bar,n
4357,citizenship,Ryukyuan,n
4358,coordinator,convoy,n
4359,validity,quarter,n
4360,european,Stratford-on-Avon,n
4361,lightning,Aporocactus,n
4362,turtle,sloop,n
4363,ambition,truckage,n
4364,worldwide,presumably,r
4365,sail,depreciate,v
4366,added,unfastidious,a
4367,delicate,unprincipled,a
4368,comic,storehouse,n
4369,soap,Tiresias,n
4370,hostile,Gilbertian,a
4371,instruct,complicate,v
4372,shortage,Coolidge,n
4373,useless,hispid,a
4374,booth,cubeb,n
4375,diary,mugging,n
4376,gasp,catcall,v
4377,suspicious,oxidizable,a
4378,transit,iconology,n
4379,excite,fail,v
4380,publishing,amyloid,n
4381,curiosity,wheeling,n
4382,grid,Lebanon,n
4383,rolling,quick-witted,a
4384,bow,challenge,n
4385,cruel,approachable,a
4386,disclosure,livery,n
4387,rival,bradawl,n
4388,denial,preservation,n
4389,secular,inflowing,a
4390,flood,knock,v
4391,speculation,Montessori,n
4392,sympathy,knower,n
4393,tender,tribadistic,a
4394,inappropriate,wired,a
4395,o'clock,irately,r
4396,sodium,parsimony,n
4397,divorce,beckon,v
4398,spring,lash,v
4399,bang,indemnify,v
4400,challenging,generative,a
4401,ipad,commission,n
4402,sack,fixedness,n
4403,barn,plastering,n
4404,reliability,supervisor,n
4405,hormone,arousal,n
4406,footage,polyhedron,n
4407,carve,fawn,v
4408,alley,Leonurus,n
4409,ease,quirt,n
4410,coastal,gonadal,a
4411,cafe,flummery,n
4412,partial,nonmoving,a
4413,flexible,soleless,a
4414,experienced,unsightly,a
4415,mixed,implacable,a
4416,vampire,saunterer,n
4417,optimistic,categoric,a
4418,dessert,Acapulco,n
4419,well-being,Hudson,n
4420,northeast,Upupa,n
4421,specialize,sporulate,v
4422,fleet,cabana,n
4423,availability,part,n
4424,compliance,Rhinolophidae,n
4425,pin,copal,n
4426,pork,Pliny,n
4427,astronomer,Franco-American,n
4428,like,Nynorsk,n
4429,forbid,close,v
4430,installation,boom,n
4431,boil,worship,v
4432,nest,oversimplification,n
4433,exclusively,relentlessly,r
4434,goat,parallel,n
4435,shallow,Cuban,a
4436,equip,arch,v
4437,equivalent,Spinacia,n
4438,betray,spare,v
4439,willingness,Tineoidea,n
4440,banker,patency,n
